govname1	year
Orr, Robert D.	1982
Orr, Robert D.	1983
Orr, Robert D.	1984
Orr, Robert D.	1985
Orr, Robert D.	1986
Orr, Robert D.	1987
Orr, Robert D.	1988
Bayh, Evan	1989
Bayh, Evan	1990
Bayh, Evan	1991
Bayh, Evan	1992
Bayh, Evan	1993
Bayh, Evan	1994
Bayh, Evan	1995
Bayh, Evan	1996
O'Bannon, Frank L.	1997
O'Bannon, Frank L.	1998
O'Bannon, Frank L.	1999
O'Bannon, Frank L.	2000
O'Bannon, Frank L.	2001
O'Bannon, Frank L.	2002
Split: Frank L. O'Bannon-D and Joseph E. Kernan-D	2003
Kernan, Joseph E.	2004
Daniels, Mitchell E.	2005
Daniels, Mitchell E.	2006
Daniels, Mitch	2007
Daniels, Mitch	2008
Daniels, Mitch	2009
Daniels, Mitch	2010
Daniels, Mitch	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Hoegh, Leo Arthur	1956
Loveless, Herschel C.	1957
Loveless, Herschel C.	1958
Loveless, Herschel C.	1959
Loveless, Herschel C.	1960
Erbe, Norman A.	1961
Erbe, Norman A.	1962
Hughes, Harold E.	1963
Hughes, Harold E.	1964
Hughes, Harold E.	1965
Hughes, Harold E.	1966
Hughes, Harold E.	1967
Hughes, Harold E.	1968
Ray, Robert D.	1969
Ray, Robert D.	1970
Ray, Robert D.	1971
Ray, Robert D.	1972
Ray, Robert D.	1973
Ray, Robert D.	1974
Ray, Robert D.	1975
Ray, Robert D.	1976
Ray, Robert D.	1977
Ray, Robert D.	1978
Ray, Robert D.	1979
Ray, Robert D.	1980
Ray, Robert D.	1981
Ray, Robert D.	1982
Branstad, Terry E.	1983
Branstad, Terry E.	1984
Branstad, Terry E.	1985
Branstad, Terry E.	1986
Branstad, Terry E.	1987
Branstad, Terry E.	1988
Branstad, Terry E.	1989
Branstad, Terry E.	1990
Branstad, Terry E.	1991
Branstad, Terry E.	1992
Branstad, Terry E.	1993
Branstad, Terry E.	1994
Branstad, Terry E.	1995
Branstad, Terry E.	1996
Branstad, Terry E.	1997
Branstad, Terry E.	1998
Vilsack, Tom	1999
Vilsack, Tom	2000
Vilsack, Tom	2001
Vilsack, Tom	2002
Vilsack, Tom	2003
Vilsack, Tom	2004
Vilsack, Tom	2005
Vilsack, Tom	2006
Culver, Chet	2007
Culver, Chet	2008
Culver, Chet	2009
Culver, Chet	2010
Branstad, Terry E.	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Hall, Frederick L.	1956
Docking, George	1957
Docking, George	1958
Docking, George	1959
Docking, George	1960
Anderson, John Jr.	1961
Anderson, John Jr.	1962
Anderson, John Jr.	1963
Anderson, John Jr.	1964
Avery, William H.	1965
Avery, William H.	1966
Docking, Robert B.	1967
Docking, Robert B.	1968
Docking, Robert B.	1969
Docking, Robert B.	1970
Docking, Robert B.	1971
Docking, Robert B.	1972
Docking, Robert B.	1973
Docking, Robert B.	1974
Bennett, Robert F.	1975
Bennett, Robert F.	1976
Bennett, Robert F.	1977
Bennett, Robert F.	1978
Carlin, John	1979
Carlin, John	1980
Carlin, John	1981
Carlin, John	1982
Carlin, John	1983
Carlin, John	1984
Carlin, John	1985
Carlin, John	1986
Hayden, Mike	1987
Hayden, Mike	1988
Hayden, Mike	1989
Hayden, Mike	1990
Finney, Joan	1991
Finney, Joan	1992
Finney, Joan	1993
Finney, Joan	1994
Graves, Bill	1995
Graves, Bill	1996
Graves, Bill	1997
Graves, Bill	1998
Graves, Bill	1999
Graves, Bill	2000
Graves, Bill	2001
Graves, Bill	2002
Sebelius, Kathleen	2003
Sebelius, Kathleen	2004
Sebelius, Kathleen	2005
Sebelius, Kathleen	2006
Sebelius, Kathleen	2007
Sebelius, Kathleen	2008
Parkinson, Mark	2009
Parkinson, Mark	2010
Brownback, Sam	2011
	2012
	2013
	2014
	2015
	2016
	1925
Fields, William J.	1926
Fields, William J.	1927
Sampson, Flem D.	1928
Sampson, Flem D.	1929
Sampson, Flem D.	1930
Sampson, Flem D.	1931
Lafoon, Ruby	1932
Lafoon, Ruby	1933
Lafoon, Ruby	1934
Lafoon, Ruby	1935
Chandler, Albert "Happy"	1936
Chandler, Albert "Happy"	1937
Chandler, Albert "Happy"	1938
Chandler, Albert "Happy"	1939
Johnson, Keen	1940
Johnson, Keen	1941
Johnson, Keen	1942
Johnson, Keen	1943
Willis, Simeon S.	1944
Willis, Simeon S.	1945
Willis, Simeon S.	1946
Willis, Simeon S.	1947
Clements, Earle C.	1948
Clements, Earle C.	1949
Clements, Earle C.	1950
Wetherby, Lawrence W.	1951
Wetherby, Lawrence W.	1952
Wetherby, Lawrence W.	1953
Wetherby, Lawrence W.	1954
Wetherby, Lawrence W.	1955
Chandler, Albert B. (Happy)	1956
Chandler, Albert B. (Happy)	1957
Chandler, Albert B. (Happy)	1958
Chandler, Albert B. (Happy)	1959
Combs, Bert T.	1960
Combs, Bert T.	1961
Combs, Bert T.	1962
Combs, Bert T.	1963
Breathitt, Edward T.	1964
Breathitt, Edward T.	1965
Breathitt, Edward T.	1966
Breathitt, Edward T.	1967
Nunn, Louie B.	1968
Nunn, Louie B.	1969
Nunn, Louie B.	1970
Nunn, Louie B.	1971
Ford, Wendell H.	1972
Ford, Wendell H.	1973
Ford, Wendell H.	1974
Caroll, Julian	1975
Caroll, Julian	1976
Caroll, Julian	1977
Caroll, Julian	1978
Caroll, Julian	1979
Brown, John Y. Jr.	1980
Brown, John Y. Jr.	1981
Brown, John Y. Jr.	1982
Brown, John Y. Jr.	1983
Collins, Martha Layne	1984
Collins, Martha Layne	1985
Collins, Martha Layne	1986
Collins, Martha Layne	1987
Wilkinson, Wallace G.	1988
Wilkinson, Wallace G.	1989
Wilkinson, Wallace G.	1990
Wilkinson, Wallace G.	1991
Jones, Brereton C.	1992
Jones, Brereton C.	1993
Jones, Brereton C.	1994
Jones, Brereton C.	1995
Patton, Paul E.	1996
Patton, Paul E.	1997
Patton, Paul E.	1998
Patton, Paul E.	1999
Patton, Paul E.	2000
Patton, Paul E.	2001
Patton, Paul E.	2002
Patton, Paul E.	2003
Fletcher, Ernie	2004
Fletcher, Ernie	2005
Fletcher, Ernie	2006
Fletcher, Ernie	2007
Beshear, Steven L.	2008
Beshear, Steven L.	2009
Beshear, Steven L.	2010
Beshear, Steven L.	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
Simpson, Oramel H.	1927
Long, Huey P.	1928
Long, Huey P.	1929
Long, Huey P.	1930
Long, Huey P.	1931
Allen, Oscar K.	1932
Allen, Oscar K.	1933
Allen, Oscar K.	1934
Allen, Oscar K.	1935
Leche, Richard W.	1936
Leche, Richard W.	1937
Leche, Richard W.	1938
	1939
	1940
Jones, Sam H.	1941
Jones, Sam H.	1942
Jones, Sam H.	1943
	1944
Davis, James H.	1945
Davis, James H.	1946
Davis, James H.	1947
	1948
Long, Earl K.	1949
Long, Earl K.	1950
Long, Earl K.	1951
	1952
Kennon, Robert F.	1953
Kennon, Robert F.	1954
Kennon, Robert F.	1955
Long, Earl K.	1956
Long, Earl K.	1957
Long, Earl K.	1958
Long, Earl K.	1959
Davis, James H.	1960
Davis, James H.	1961
Davis, James H.	1962
Davis, James H.	1963
McKeithen, John J.	1964
McKeithen, John J.	1965
McKeithen, John J.	1966
McKeithen, John J.	1967
McKeithen, John J.	1968
McKeithen, John J.	1969
McKeithen, John J.	1970
McKeithen, John J.	1971
Edwards, Edwin W.	1972
Edwards, Edwin W.	1973
Edwards, Edwin W.	1974
Edwards, Edwin W.	1975
Edwards, Edwin W.	1976
Edwards, Edwin W.	1977
Edwards, Edwin W.	1978
Edwards, Edwin W.	1979
Treen, David C.	1980
Treen, David C.	1981
Treen, David C.	1982
Treen, David C.	1983
Edwards, Edwin W.	1984
Edwards, Edwin W.	1985
Edwards, Edwin W.	1986
Edwards, Edwin W.	1987
Roemer, Charles	1988
Roemer, Charles	1989
Roemer, Charles	1990
Roemer, Charles	1991
Edwards, Edwin W.	1992
Edwards, Edwin W.	1993
Edwards, Edwin W.	1994
Edwards, Edwin W.	1995
Foster, Mike	1996
Foster, Mike	1997
Foster, Mike	1998
Foster, Mike	1999
Foster, Mike	2000
Foster, Mike	2001
Foster, Mike	2002
Foster, Mike	2003
Blanco, Kathleen Babineaux	2004
Blanco, Kathleen Babineaux	2005
Blanco, Kathleen Babineaux	2006
Blanco, Kathleen Babineaux	2007
Jindal, Bobby	2008
Jindal, Bobby	2009
Jindal, Bobby	2010
Jindal, Bobby	2011
	2012
	2013
	2014
	2015
	2016
	1925
Brewster, Ralph O.	1926
Brewster, Ralph O.	1927
Brewster, Ralph O.	1928
Gardiner, William T.	1929
Gardiner, William T.	1930
Gardiner, William T.	1931
Gardiner, William T.	1932
Brann, Louis J.	1933
Brann, Louis J.	1934
Brann, Louis J.	1935
Brann, Louis J.	1936
Barrows, Lewis O.	1937
Barrows, Lewis O.	1938
Barrows, Lewis O.	1939
Barrows, Lewis O.	1940
Sewall, Sumner	1941
Sewall, Sumner	1942
Sewall, Sumner	1943
Sewall, Sumner	1944
Hildreth, Horace A.	1945
Hildreth, Horace A.	1946
Hildreth, Horace A.	1947
Hildreth, Horace A.	1948
Payne, Frederick G.	1949
Payne, Frederick G.	1950
Payne, Frederick G.	1951
Payne, Frederick G.	1952
Cross, Burton M.	1953
Cross, Burton M.	1954
Muskie, Edmund S.	1955
Muskie, Edmund S.	1956
Muskie, Edmund S.	1957
Muskie, Edmund S.	1958
Clauson, Clinton A.	1959
Reed, John H.	1960
Reed, John H.	1961
Reed, John H.	1962
Reed, John H.	1963
Reed, John H.	1964
Reed, John H.	1965
Reed, John H.	1966
Curtis, Kenneth M.	1967
Curtis, Kenneth M.	1968
Curtis, Kenneth M.	1969
Curtis, Kenneth M.	1970
Curtis, Kenneth M.	1971
Curtis, Kenneth M.	1972
Curtis, Kenneth M.	1973
Curtis, Kenneth M.	1974
Longley, James B.	1975
Longley, James B.	1976
Longley, James B.	1977
Longley, James B.	1978
Brennan, Joseph E.	1979
Brennan, Joseph E.	1980
Brennan, Joseph E.	1981
Brennan, Joseph E.	1982
Brennan, Joseph E.	1983
Brennan, Joseph E.	1984
Brennan, Joseph E.	1985
Brennan, Joseph E.	1986
McKernan, John R. Jr.	1987
McKernan, John R. Jr.	1988
McKernan, John R. Jr.	1989
McKernan, John R. Jr.	1990
McKernan, John R. Jr.	1991
McKernan, John R. Jr.	1992
McKernan, John R. Jr.	1993
McKernan, John R. Jr.	1994
King, Angus Jr.	1995
King, Angus Jr.	1996
King, Angus Jr.	1997
King, Angus Jr.	1998
King, Angus Jr.	1999
King, Angus Jr.	2000
King, Angus Jr.	2001
King, Angus Jr.	2002
Baldacci, John	2003
Baldacci, John	2004
Baldacci, John	2005
Baldacci, John	2006
Baldacci, John	2007
Baldacci, John	2008
Baldacci, John	2009
Baldacci, John	2010
LePage, Paul	2011
	2012
	2013
	2014
	2015
	2016
	1925
Ritchie, Albert C.	1926
Ritchie, Albert C.	1927
Ritchie, Albert C.	1928
Ritchie, Albert C.	1929
Ritchie, Albert C.	1930
Ritchie, Albert C.	1931
Ritchie, Albert C.	1932
Ritchie, Albert C.	1933
Ritchie, Albert C.	1934
Nice, Harry W.	1935
Nice, Harry W.	1936
Nice, Harry W.	1937
Nice, Harry W.	1938
O'Conor, Herbert R.	1939
O'Conor, Herbert R.	1940
O'Conor, Herbert R.	1941
O'Conor, Herbert R.	1942
O'Conor, Herbert R.	1943
O'Conor, Herbert R.	1944
O'Conor, Herbert R.	1945
O'Conor, Herbert R.	1946
Lane, William P. Jr.	1947
Lane, William P. Jr.	1948
Lane, William P. Jr.	1949
Lane, William P. Jr.	1950
McKeldin, Theodore R.	1951
McKeldin, Theodore R.	1952
McKeldin, Theodore R.	1953
McKeldin, Theodore R.	1954
McKeldin, Theodore R.	1955
McKeldin, Theodore R.	1956
McKeldin, Theodore R.	1957
McKeldin, Theodore R.	1958
Tawes, J. Millard	1959
Tawes, J. Millard	1960
Tawes, J. Millard	1961
Tawes, J. Millard	1962
Tawes, J. Millard	1963
Tawes, J. Millard	1964
Tawes, J. Millard	1965
Tawes, J. Millard	1966
Agnew, Spiro T.	1967
Agnew, Spiro T.	1968
Mandel, Marvin	1969
Mandel, Marvin	1970
Mandel, Marvin	1971
Mandel, Marvin	1972
Mandel, Marvin	1973
Mandel, Marvin	1974
Mandel, Marvin	1975
Mandel, Marvin	1976
Mandel, Marvin and then Blair Lee	1977
Lee, Blair	1978
Hughes, Harry	1979
Hughes, Harry	1980
Hughes, Harry	1981
Hughes, Harry	1982
Hughes, Harry	1983
Hughes, Harry	1984
Hughes, Harry	1985
Hughes, Harry	1986
Schaefer, William D.	1987
Schaefer, William D.	1988
Schaefer, William D.	1989
Schaefer, William D.	1990
Schaefer, William D.	1991
Schaefer, William D.	1992
Schaefer, William D.	1993
Schaefer, William D.	1994
Glendening, Parris N.	1995
Glendening, Parris N.	1996
Glendening, Parris N.	1997
Glendening, Parris N.	1998
Glendening, Parris N.	1999
Glendening, Parris N.	2000
Glendening, Parris N.	2001
Glendening, Parris N.	2002
Ehrlich, Robert L. Jr.	2003
Ehrlich, Robert L. Jr.	2004
Ehrlich, Robert L. Jr.	2005
Ehrlich, Robert L. Jr.	2006
O'Malley, Martin	2007
O'Malley, Martin	2008
O'Malley, Martin	2009
O'Malley, Martin	2010
O'Malley, Martin	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Herter, Christian A.	1956
Furcolo, Foster J.	1957
Furcolo, Foster J.	1958
Furcolo, Foster J.	1959
Furcolo, Foster J.	1960
Volpe, John A.	1961
Volpe, John A.	1962
Peabody, Endicott	1963
Peabody, Endicott	1964
Volpe, John A.	1965
Volpe, John A.	1966
Volpe, John A.	1967
Volpe, John A.	1968
Sargent, Francis W.	1969
Sargent, Francis W.	1970
Sargent, Francis W.	1971
Sargent, Francis W.	1972
Sargent, Francis W.	1973
Sargent, Francis W.	1974
Dukakis, Michael S.	1975
Dukakis, Michael S.	1976
Dukakis, Michael S.	1977
Dukakis, Michael S.	1978
King, Edward J.	1979
King, Edward J.	1980
King, Edward J.	1981
King, Edward J.	1982
Dukakis, Michael S.	1983
Dukakis, Michael S.	1984
Dukakis, Michael S.	1985
Dukakis, Michael S.	1986
Dukakis, Michael S.	1987
Dukakis, Michael S.	1988
Dukakis, Michael S.	1989
Dukakis, Michael S.	1990
Weld, William F.	1991
Weld, William F.	1992
Weld, William F.	1993
Weld, William F.	1994
Weld, William F.	1995
Weld, William F.	1996
Switch; Weld then Argeo Paul Cellucci-R	1997
Cellucci, Argeo Paul	1998
Cellucci, Argeo Paul	1999
Cellucci, Argeo Paul	2000
Switch; Paul Cellucci then Swift	2001
Swift, Jane	2002
Romney, Mitt	2003
Romney, Mitt	2004
Romney, Mitt	2005
Romney, Mitt	2006
Patrick, Deval L.	2007
Patrick, Deval L.	2008
Patrick, Deval L.	2009
Patrick, Deval L.	2010
Patrick, Deval L.	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Williams, G. Mennen	1956
Williams, G. Mennen	1957
Williams, G. Mennen	1958
Williams, G. Mennen	1959
Williams, G. Mennen	1960
Swainson, John B.	1961
Swainson, John B.	1962
Romney, George W.	1963
Romney, George W.	1964
Romney, George W.	1965
Romney, George W.	1966
Romney, George W.	1967
Romney, George W.	1968
Milliken, William G.	1969
Milliken, William G.	1970
Milliken, William G.	1971
Milliken, William G.	1972
Milliken, William G.	1973
Milliken, William G.	1974
Milliken, William G.	1975
Milliken, William G.	1976
Milliken, William G.	1977
Milliken, William G.	1978
Milliken, William G.	1979
Milliken, William G.	1980
Milliken, William G.	1981
Milliken, William G.	1982
Blanchard, James J.	1983
Blanchard, James J.	1984
Blanchard, James J.	1985
Blanchard, James J.	1986
Blanchard, James J.	1987
Blanchard, James J.	1988
Blanchard, James J.	1989
Blanchard, James J.	1990
Engler, John	1991
Engler, John	1992
Engler, John	1993
Engler, John	1994
Engler, John	1995
Engler, John	1996
Engler, John	1997
Engler, John	1998
Engler, John	1999
Engler, John	2000
Engler, John	2001
Engler, John	2002
Granholm, Jennifer	2003
Granholm, Jennifer	2004
Granholm, Jennifer	2005
Granholm, Jennifer	2006
Granholm, Jennifer	2007
Granholm, Jennifer	2008
Granholm, Jennifer	2009
Granholm, Jennifer	2010
Snyder, Rick	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Freeman, Orville L.	1956
Freeman, Orville L.	1957
Freeman, Orville L.	1958
Freeman, Orville L.	1959
Freeman, Orville L.	1960
Andersen, Elmer L.	1961
Andersen, Elmer L.	1962
Andersen, Elmer L. followed by Karl F. Rolvaag	1963
Rolvaag, Karl F.	1964
Rolvaag, Karl F.	1965
Rolvaag, Karl F.	1966
LeVander, Harold	1967
LeVander, Harold	1968
LeVander, Harold	1969
LeVander, Harold	1970
Anderson, Wendell R.	1971
Anderson, Wendell R.	1972
Anderson, Wendell R.	1973
Anderson, Wendell R.	1974
Anderson, Wendell R.	1975
Anderson, Wendell R.	1976
Perpich, Rudy	1977
Perpich, Rudy	1978
Quie, Albert H.	1979
Quie, Albert H.	1980
Quie, Albert H.	1981
Quie, Albert H.	1982
Perpich, Rudy	1983
Perpich, Rudy	1984
Perpich, Rudy	1985
Perpich, Rudy	1986
Perpich, Rudy	1987
Perpich, Rudy	1988
Perpich, Rudy	1989
Perpich, Rudy	1990
Carlson, Arne H.	1991
Carlson, Arne H.	1992
Carlson, Arne H.	1993
Carlson, Arne H.	1994
Carlson, Arne H.	1995
Carlson, Arne H.	1996
Carlson, Arne H.	1997
Carlson, Arne H.	1998
Ventura, Jesse	1999
Ventura, Jesse	2000
Ventura, Jesse	2001
Ventura, Jesse	2002
Pawlenty, Tim	2003
Pawlenty, Tim	2004
Pawlenty, Tim	2005
Pawlenty, Tim	2006
Pawlenty, Tim	2007
Pawlenty, Tim	2008
Pawlenty, Tim	2009
Pawlenty, Tim	2010
Dayton, Mark	2011
	2012
	2013
	2014
	2015
	2016
	1925
Whitfield, Henry Lewis	1926
	1927
Bilbo, Theodore Gilmore	1928
Bilbo, Theodore Gilmore	1929
Bilbo, Theodore Gilmore	1930
Bilbo, Theodore Gilmore	1931
Conner, Martin Sennett	1932
Conner, Martin Sennett	1933
Conner, Martin Sennett	1934
Conner, Martin Sennett	1935
White, Hugh L.	1936
White, Hugh L.	1937
White, Hugh L.	1938
White, Hugh L.	1939
Johnson, Paul B.	1940
Johnson, Paul B.	1941
Johnson, Paul B.	1942
Johnson, Paul B.	1943
Bailey, Thomas L.	1944
Bailey, Thomas L.	1945
Bailey, Thomas L.	1946
Wright, Fielding L.	1947
Wright, Fielding L.	1948
Wright, Fielding L.	1949
Wright, Fielding L.	1950
Wright, Fielding L.	1951
White, Hugh L.	1952
White, Hugh L.	1953
White, Hugh L.	1954
White, Hugh L.	1955
Coleman, J.P.	1956
Coleman, J.P.	1957
Coleman, J.P.	1958
Coleman, J.P.	1959
Barnett, Rose R.	1960
Barnett, Rose R.	1961
Barnett, Rose R.	1962
Barnett, Rose R.	1963
Johnson, Paul B. Jr.	1964
Johnson, Paul B. Jr.	1965
Johnson, Paul B. Jr.	1966
Johnson, Paul B. Jr.	1967
Williams, John Bell	1968
Williams, John Bell	1969
Williams, John Bell	1970
Williams, John Bell	1971
Waller, William Lowe	1972
Waller, William Lowe	1973
Waller, William Lowe	1974
Waller, William Lowe	1975
Finch, Cliff	1976
Finch, Cliff	1977
Finch, Cliff	1978
Finch, Cliff	1979
Winter, William	1980
Winter, William	1981
Winter, William	1982
Winter, William	1983
Allain, Bill	1984
Allain, Bill	1985
Allain, Bill	1986
Allain, Bill	1987
Mabus, Ray	1988
Mabus, Ray	1989
Mabus, Ray	1990
Mabus, Ray	1991
Fordice, Kirk	1992
Fordice, Kirk	1993
Fordice, Kirk	1994
Fordice, Kirk	1995
Fordice, Kirk	1996
Fordice, Kirk	1997
Fordice, Kirk	1998
Fordice, Kirk	1999
Musgrove, Ronnie	2000
Musgrove, Ronnie	2001
Musgrove, Ronnie	2002
Musgrove, Ronnie	2003
Barbour, Haley	2004
Barbour, Haley	2005
Barbour, Haley	2006
Barbour, Haley	2007
Barbour, Haley	2008
Barbour, Haley	2009
Barbour, Haley	2010
Barbour, Haley	2011
	2012
	2013
	2014
	2015
	2016
	1925
Baker, Samuel A.	1926
Baker, Samuel A.	1927
Baker, Samuel A.	1928
Caulfield, Henry S.	1929
Caulfield, Henry S.	1930
Caulfield, Henry S.	1931
Caulfield, Henry S.	1932
Park, Guy B.	1933
Park, Guy B.	1934
Park, Guy B.	1935
Park, Guy B.	1936
Stark, Lloyd C.	1937
Stark, Lloyd C.	1938
Stark, Lloyd C.	1939
Stark, Lloyd C.	1940
Donnell, Forrest C.	1941
Donnell, Forrest C.	1942
Donnell, Forrest C.	1943
Donnell, Forrest C.	1944
Donnelly, Phil M.	1945
Donnelly, Phil M.	1946
Donnelly, Phil M.	1947
Donnelly, Phil M.	1948
Smith, Forrest	1949
Smith, Forrest	1950
Smith, Forrest	1951
Smith, Forrest	1952
Donnelly, Phil M.	1953
Donnelly, Phil M.	1954
Donnelly, Phil M.	1955
Donnelly, Phil M.	1956
Blair, Jame T. Jr.	1957
Blair, Jame T. Jr.	1958
Blair, Jame T. Jr.	1959
Blair, Jame T. Jr.	1960
Dalton, John M.	1961
Dalton, John M.	1962
Dalton, John M.	1963
Dalton, John M.	1964
Hearnes, Warren E.	1965
Hearnes, Warren E.	1966
Hearnes, Warren E.	1967
Hearnes, Warren E.	1968
Hearnes, Warren E.	1969
Hearnes, Warren E.	1970
Hearnes, Warren E.	1971
Hearnes, Warren E.	1972
Bond, Christopher S.	1973
Bond, Christopher S.	1974
Bond, Christopher S.	1975
Bond, Christopher S.	1976
Teasdale, Joseph P.	1977
Teasdale, Joseph P.	1978
Teasdale, Joseph P.	1979
Teasdale, Joseph P.	1980
Bond, Christopher S.	1981
Bond, Christopher S.	1982
Bond, Christopher S.	1983
Bond, Christopher S.	1984
Ashcroft, John	1985
Ashcroft, John	1986
Ashcroft, John	1987
Ashcroft, John	1988
Ashcroft, John	1989
Ashcroft, John	1990
Ashcroft, John	1991
Ashcroft, John	1992
Carnahan, Mel E.	1993
Carnahan, Mel E.	1994
Carnahan, Mel E.	1995
Carnahan, Mel E.	1996
Carnahan, Mel E.	1997
Carnahan, Mel E.	1998
Carnahan, Mel E.	1999
Split: Mel Carnahan-D and Roger B. Wilson-D	2000
Holden, Bob	2001
Holden, Bob	2002
Holden, Bob	2003
Holden, Bob	2004
Blunt, Matt	2005
Blunt, Matt	2006
Blunt, Matt	2007
Blunt, Matt	2008
Nixon, Jay	2009
Nixon, Jay	2010
Nixon, Jay	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Aronson, J. Hugo	1956
Aronson, J. Hugo	1957
Aronson, J. Hugo	1958
Aronson, J. Hugo	1959
Aronson, J. Hugo	1960
Nutter, Donald G.	1961
Babcock, Tim M.	1962
Babcock, Tim M.	1963
Babcock, Tim M.	1964
Babcock, Tim M.	1965
Babcock, Tim M.	1966
Babcock, Tim M.	1967
Babcock, Tim M.	1968
Anderson, Forrest H.	1969
Anderson, Forrest H.	1970
Anderson, Forrest H.	1971
Anderson, Forrest H.	1972
Judge, Thomas L.	1973
Judge, Thomas L.	1974
Judge, Thomas L.	1975
Judge, Thomas L.	1976
Judge, Thomas L.	1977
Judge, Thomas L.	1978
Judge, Thomas L.	1979
Judge, Thomas L.	1980
Schwinden, Ted	1981
Schwinden, Ted	1982
Schwinden, Ted	1983
Schwinden, Ted	1984
Schwinden, Ted	1985
Schwinden, Ted	1986
Schwinden, Ted	1987
Schwinden, Ted	1988
Stephens, Stan	1989
Stephens, Stan	1990
Stephens, Stan	1991
Stephens, Stan	1992
Racicot, Marc F.	1993
Racicot, Marc F.	1994
Racicot, Marc F.	1995
Racicot, Marc F.	1996
Racicot, Marc F.	1997
Racicot, Marc F.	1998
Racicot, Marc F.	1999
Racicot, Marc F.	2000
Martz, Judy	2001
Martz, Judy	2002
Martz, Judy	2003
Martz, Judy	2004
Schweitzer, Brian	2005
Schweitzer, Brian	2006
Schweitzer, Brian	2007
Schweitzer, Brian	2008
Schweitzer, Brian	2009
Schweitzer, Brian	2010
Schweitzer, Brian	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Anderson, Victor E.	1956
Anderson, Victor E.	1957
Anderson, Victor E.	1958
Brooks, Ralph G.	1959
Brooks, Ralph G. then Dwight W. Burney	1960
Morrison, Frank B.	1961
Morrison, Frank B.	1962
Morrison, Frank B.	1963
Morrison, Frank B.	1964
Morrison, Frank B.	1965
Morrison, Frank B.	1966
Teimann, Norbert T.	1967
Teimann, Norbert T.	1968
Teimann, Norbert T.	1969
Teimann, Norbert T.	1970
Exon, J. James	1971
Exon, J. James	1972
Exon, J. James	1973
Exon, J. James	1974
Exon, J. James	1975
Exon, J. James	1976
Exon, J. James	1977
Exon, J. James	1978
Thone, Charles	1979
Thone, Charles	1980
Thone, Charles	1981
Thone, Charles	1982
Kerrey, Bob	1983
Kerrey, Bob	1984
Kerrey, Bob	1985
Kerrey, Bob	1986
Orr, Kay A.	1987
Orr, Kay A.	1988
Orr, Kay A.	1989
Orr, Kay A.	1990
Nelson, Earl "Ben"	1991
Nelson, Earl "Ben"	1992
Nelson, Earl "Ben"	1993
Nelson, Earl "Ben"	1994
Nelson, Earl "Ben"	1995
Nelson, Earl "Ben"	1996
Nelson, Earl "Ben"	1997
Nelson, Earl "Ben"	1998
Johanns, Mike	1999
Johanns, Mike	2000
Johanns, Mike	2001
Johanns, Mike	2002
Johanns, Mike	2003
Johanns, Mike	2004
Heineman, Dave	2005
Heineman, Dave	2006
Heineman, Dave	2007
Heineman, Dave	2008
Heineman, Dave	2009
Heineman, Dave	2010
Heineman, Dave	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Russell, Charles H.	1956
